,date,counts
0,2018-01-01,5926
1,2018-01-02,5750
2,2018-01-03,5540
3,2018-01-04,5454
4,2018-01-05,5341
5,2018-01-06,5416
6,2018-01-07,5528
7,2018-01-08,5408
8,2018-01-09,5377
9,2018-01-10,5415
10,2018-01-11,5430
11,2018-01-12,5419
12,2018-01-13,5394
13,2018-01-14,5625
14,2018-01-15,5424
15,2018-01-16,5522
16,2018-01-17,5572
17,2018-01-18,5569
18,2018-01-19,5685
19,2018-01-20,5873
20,2018-01-21,5810
21,2018-01-22,5883
22,2018-01-23,5898
23,2018-01-24,5961
24,2018-01-25,5910
25,2018-01-26,5910
26,2018-01-27,6004
27,2018-01-28,6017
28,2018-01-29,5925
29,2018-01-30,5867
30,2018-01-31,5883
31,2018-02-01,5778
32,2018-02-02,5865
33,2018-02-03,5973
34,2018-02-04,5960
35,2018-02-05,6025
36,2018-02-06,5926
37,2018-02-07,5913
38,2018-02-08,6002
39,2018-02-09,5936
40,2018-02-10,6022
41,2018-02-11,5955
42,2018-02-12,5945
43,2018-02-13,5965
44,2018-02-14,5860
45,2018-02-15,5966
46,2018-02-16,5958
47,2018-02-17,6036
48,2018-02-18,5984
49,2018-02-19,5898
50,2018-02-20,5814
51,2018-02-21,5849
52,2018-02-22,5873
53,2018-02-23,5926
54,2018-02-24,5850
55,2018-02-25,5858
56,2018-02-26,5803
57,2018-02-27,5865
58,2018-02-28,5898
59,2018-03-01,5879
60,2018-03-02,5899
61,2018-03-03,5949
62,2018-03-04,5881
63,2018-03-05,5885
64,2018-03-06,5890
65,2018-03-07,5915
66,2018-03-08,5856
67,2018-03-09,5898
68,2018-03-10,5893
69,2018-03-11,5957
70,2018-03-12,5823
71,2018-03-13,5865
72,2018-03-14,5843
73,2018-03-15,5881
74,2018-03-16,5918
75,2018-03-17,5856
76,2018-03-18,5933
77,2018-03-19,5961
78,2018-03-20,5959
79,2018-03-21,5934
80,2018-03-22,6014
81,2018-03-23,5968
82,2018-03-24,6058
83,2018-03-25,6024
84,2018-03-26,6004
85,2018-03-27,5923
86,2018-03-28,5949
