,date,diff
0,2018-01-01,1935072000000000.0
1,2018-01-02,1924730000000000.0
2,2018-01-03,1904342999999999.8
3,2018-01-04,1895450000000000.0
4,2018-01-05,1933063999999999.8
5,2018-01-06,1899132000000000.0
6,2018-01-07,1950647000000000.2
7,2018-01-08,2005810000000000.0
8,2018-01-09,2009517000000000.0
9,2018-01-10,2005905000000000.0
10,2018-01-11,2075422000000000.0
11,2018-01-12,2099697000000000.0
12,2018-01-13,2140802000000000.2
13,2018-01-14,2169167999999999.8
14,2018-01-15,2189372000000000.2
15,2018-01-16,2201747000000000.2
16,2018-01-17,2257174000000000.0
17,2018-01-18,2275486000000000.0
18,2018-01-19,2268780000000000.0
19,2018-01-20,2363823000000000.0
20,2018-01-21,2372815000000000.0
21,2018-01-22,2395157000000000.0
22,2018-01-23,2399287000000000.5
23,2018-01-24,2459967000000000.0
24,2018-01-25,2507603000000000.0
25,2018-01-26,2500853000000000.0
26,2018-01-27,2485341000000000.0
27,2018-01-28,2500394000000000.0
28,2018-01-29,2591382000000000.0
29,2018-01-30,2596250000000000.0
30,2018-01-31,2626765000000000.0
31,2018-02-01,2666119000000000.0
32,2018-02-02,2711470000000000.0
33,2018-02-03,2765665000000000.0
34,2018-02-04,2759422000000000.0
35,2018-02-05,2786247000000000.5
36,2018-02-06,2787077000000000.0
37,2018-02-07,2837218000000000.0
38,2018-02-08,2821720000000000.0
39,2018-02-09,2877238000000000.0
40,2018-02-10,2834459000000000.5
41,2018-02-11,2950749000000000.5
42,2018-02-12,2943732999999999.5
43,2018-02-13,2971560999999999.5
44,2018-02-14,2952817000000000.0
45,2018-02-15,2892302000000000.0
46,2018-02-16,2991223000000000.0
47,2018-02-17,2973719000000000.0
48,2018-02-18,3003822000000000.0
49,2018-02-19,2976958000000000.0
50,2018-02-20,2932875000000000.0
51,2018-02-21,2911435999999999.5
52,2018-02-22,2981197000000000.0
53,2018-02-23,2967712000000000.0
54,2018-02-24,2974925000000000.0
55,2018-02-25,3096446000000000.0
56,2018-02-26,3030533000000000.0
57,2018-02-27,2978767000000000.5
58,2018-02-28,3052568000000000.0
59,2018-03-01,3103058000000000.0
60,2018-03-02,3077244000000000.0
61,2018-03-03,3190815000000000.0
62,2018-03-04,3140164000000000.0
63,2018-03-05,3135225999999999.5
64,2018-03-06,3118410999999999.5
65,2018-03-07,3194249000000000.5
66,2018-03-08,3237862000000000.0
67,2018-03-09,3155884000000000.0
68,2018-03-10,3166735000000000.0
69,2018-03-11,3148890999999999.5
70,2018-03-12,3190981000000000.0
71,2018-03-13,3176689000000000.5
72,2018-03-14,3135698000000000.0
73,2018-03-15,3160925000000000.0
74,2018-03-16,3273412000000000.5
75,2018-03-17,3261562000000000.0
76,2018-03-18,3265568000000000.0
77,2018-03-19,3287244000000000.0
78,2018-03-20,3281437000000000.0
79,2018-03-21,3261279000000000.5
80,2018-03-22,3225445000000000.0
81,2018-03-23,3284345000000000.0
82,2018-03-24,3218749000000000.5
83,2018-03-25,3264568000000000.0
84,2018-03-26,3333441000000000.0
85,2018-03-27,3274586000000000.0
86,2018-03-28,3258303000000000.0
87,2018-03-29,3183492000000000.0
88,2018-03-30,3211950999999999.5
89,2018-03-31,3189075999999999.5
90,2018-04-01,3239618000000000.0
91,2018-04-02,3197879000000000.5
92,2018-04-03,3130325999999999.5
93,2018-04-04,3176982000000000.0
94,2018-04-05,3151225999999999.5
95,2018-04-06,3256200000000000.0
96,2018-04-07,3235885000000000.0
97,2018-04-08,3191373000000000.0
98,2018-04-09,3088964000000000.5
99,2018-04-10,3135857999999999.5
100,2018-04-11,3146615000000000.0
101,2018-04-12,3131514000000000.0
102,2018-04-13,3085986000000000.0
103,2018-04-14,3132315000000000.0
