,date,price
0,2018-01-01,756.2
1,2018-01-02,861.97
2,2018-01-03,941.1
3,2018-01-04,944.83
4,2018-01-05,967.13
5,2018-01-06,1006.41
6,2018-01-07,1117.75
7,2018-01-08,1136.11
8,2018-01-09,1289.24
9,2018-01-10,1248.99
10,2018-01-11,1139.32
11,2018-01-12,1261.03
12,2018-01-13,1385.02
13,2018-01-14,1359.48
14,2018-01-15,1278.69
15,2018-01-16,1050.26
16,2018-01-17,1024.69
17,2018-01-18,1012.97
18,2018-01-19,1037.36
19,2018-01-20,1150.5
20,2018-01-21,1049.09
21,2018-01-22,999.64
22,2018-01-23,984.47
23,2018-01-24,1061.78
24,2018-01-25,1046.37
25,2018-01-26,1048.58
26,2018-01-27,1109.08
27,2018-01-28,1231.58
28,2018-01-29,1169.96
29,2018-01-30,1063.75
30,2018-01-31,1111.31
31,2018-02-01,1026.19
32,2018-02-02,917.47
33,2018-02-03,970.87
34,2018-02-04,827.59
35,2018-02-05,695.08
36,2018-02-06,785.01
37,2018-02-07,751.81
38,2018-02-08,813.55
39,2018-02-09,877.88
40,2018-02-10,850.75
41,2018-02-11,811.24
42,2018-02-12,865.27
43,2018-02-13,840.98
44,2018-02-14,920.11
45,2018-02-15,927.95
46,2018-02-16,938.02
47,2018-02-17,974.77
48,2018-02-18,913.9
49,2018-02-19,939.79
50,2018-02-20,885.52
51,2018-02-21,840.1
52,2018-02-22,804.63
53,2018-02-23,854.7
54,2018-02-24,833.49
55,2018-02-25,840.28
56,2018-02-26,867.62
57,2018-02-27,871.58
58,2018-02-28,851.5
59,2018-03-01,869.87
60,2018-03-02,855.6
61,2018-03-03,855.65
62,2018-03-04,864.83
63,2018-03-05,849.42
64,2018-03-06,815.69
65,2018-03-07,751.13
66,2018-03-08,698.83
67,2018-03-09,726.92
68,2018-03-10,682.3
69,2018-03-11,720.36
70,2018-03-12,697.02
71,2018-03-13,689.96
72,2018-03-14,613.15
73,2018-03-15,610.56
74,2018-03-16,600.53
75,2018-03-17,549.79
76,2018-03-18,537.38
77,2018-03-19,555.55
78,2018-03-20,557.57
79,2018-03-21,559.91
80,2018-03-22,539.89
81,2018-03-23,543.83
