date,counts
2018-01-01,156
2018-01-02,171
2018-01-03,157
2018-01-04,168
2018-01-05,143
2018-01-06,168
2018-01-07,162
2018-01-08,166
2018-01-09,164
2018-01-10,166
2018-01-11,193
2018-01-12,178
2018-01-13,149
2018-01-14,155
2018-01-15,150
2018-01-16,159
2018-01-17,167
2018-01-18,173
2018-01-19,165
2018-01-20,178
2018-01-21,187
2018-01-22,167
2018-01-23,177
2018-01-24,176
2018-01-25,158
2018-01-26,155
2018-01-27,157
2018-01-28,158
2018-01-29,148
2018-01-30,167
2018-01-31,117
2018-02-01,160
2018-02-02,168
2018-02-03,158
2018-02-04,178
2018-02-05,185
2018-02-06,170
2018-02-07,141
2018-02-08,131
2018-02-09,135
2018-02-10,143
2018-02-11,151
2018-02-12,166
2018-02-13,164
2018-02-14,179
2018-02-15,131
2018-02-16,157
2018-02-17,149
2018-02-18,162
2018-02-19,162
2018-02-20,141
2018-02-21,169
2018-02-22,149
2018-02-23,148
2018-02-24,145
2018-02-25,171
2018-02-26,141
2018-02-27,160
2018-02-28,155
2018-03-01,165
2018-03-02,156
2018-03-03,180
2018-03-04,148
2018-03-05,149
2018-03-06,156
2018-03-07,157
2018-03-08,162
2018-03-09,146
2018-03-10,140
2018-03-11,153
2018-03-12,161
2018-03-13,158
2018-03-14,144
2018-03-15,144
2018-03-16,156
2018-03-17,149
2018-03-18,151
2018-03-19,155
2018-03-20,127
2018-03-21,152
2018-03-22,143
2018-03-23,133
2018-03-24,156
2018-03-25,135
2018-03-26,150
2018-03-27,152
2018-03-28,135
2018-03-29,152
2018-03-30,162
2018-03-31,128
2018-04-01,162
2018-04-02,156
2018-04-03,163
2018-04-04,147
2018-04-05,156
2018-04-06,138
2018-04-07,180
2018-04-08,161
2018-04-09,147
2018-04-10,164
2018-04-11,161
2018-04-12,154
2018-04-13,165
2018-04-14,137
2018-04-15,163
2018-04-16,141
2018-04-17,162
2018-04-18,160
2018-04-19,178
2018-04-20,137
2018-04-21,159
2018-04-22,160
2018-04-23,153
2018-04-24,159
2018-04-25,123
2018-04-26,141
2018-04-27,142
2018-04-28,128
2018-04-29,158
2018-04-30,155
2018-05-01,158
2018-05-02,140
2018-05-03,151
2018-05-04,138
2018-05-05,161
2018-05-06,137
2018-05-07,150
2018-05-08,139
2018-05-09,160
2018-05-10,154
2018-05-11,127
2018-05-12,165
2018-05-13,148
2018-05-14,132
2018-05-15,146
2018-05-16,179
2018-05-17,132
2018-05-18,148
2018-05-19,154
2018-05-20,144
2018-05-21,157
2018-05-22,151
2018-05-23,162
2018-05-24,143
2018-05-25,176
2018-05-26,162
2018-05-27,164
2018-05-28,156
2018-05-29,139
2018-05-30,174
2018-05-31,170
2018-06-01,166
2018-06-02,152
2018-06-03,163
2018-06-04,183
2018-06-05,175
2018-06-06,147
2018-06-07,143
2018-06-08,145
2018-06-09,143
2018-06-10,127
2018-06-11,140
2018-06-12,145
2018-06-13,143
2018-06-14,153
2018-06-15,153
2018-06-16,166
2018-06-17,157
2018-06-18,164
2018-06-19,155
2018-06-20,155
2018-06-21,170
2018-06-22,151
2018-06-23,160
2018-06-24,171
2018-06-25,157
2018-06-26,146
2018-06-27,121
2018-06-28,157
2018-06-29,151
2018-06-30,141
2018-07-01,147
2018-07-02,141
2018-07-03,116
2018-07-04,134
2018-07-05,137
2018-07-06,160
2018-07-07,156
2018-07-08,158
2018-07-09,136
2018-07-10,149
2018-07-11,135
2018-07-12,141
2018-07-13,143
2018-07-14,133
2018-07-15,133
2018-07-16,120
2018-07-17,159
2018-07-18,174
2018-07-19,171
2018-07-20,154
2018-07-21,137
2018-07-22,182
2018-07-23,166
2018-07-24,159
2018-07-25,177
2018-07-26,165
2018-07-27,167
2018-07-28,145
2018-07-29,170
2018-07-30,134
2018-07-31,147
2018-08-01,150
2018-08-02,153
2018-08-03,166
2018-08-04,176
2018-08-05,160
2018-08-06,131
2018-08-07,151
2018-08-08,158
2018-08-09,149
2018-08-10,176
2018-08-11,170
2018-08-12,155
2018-08-13,150
2018-08-14,136
2018-08-15,161
2018-08-16,158
2018-08-17,152
2018-08-18,160
2018-08-19,145
2018-08-20,150
2018-08-21,148
2018-08-22,160
2018-08-23,149
2018-08-24,146
2018-08-25,135
2018-08-26,173
2018-08-27,185
2018-08-28,153
2018-08-29,139
2018-08-30,154
2018-08-31,155
2018-09-01,151
2018-09-02,144
2018-09-03,144
2018-09-04,126
2018-09-05,132
2018-09-06,150
2018-09-07,152
2018-09-08,150
2018-09-09,163
2018-09-10,135
2018-09-11,141
2018-09-12,168
2018-09-13,148
2018-09-14,132
2018-09-15,140
2018-09-16,139
2018-09-17,135
2018-09-18,142
2018-09-19,156
2018-09-20,154
2018-09-21,144
2018-09-22,155
2018-09-23,150
2018-09-24,148
2018-09-25,169
2018-09-26,139
2018-09-27,143
2018-09-28,154
2018-09-29,152
2018-09-30,163
2018-10-01,158
2018-10-02,137
2018-10-03,145
2018-10-04,150
2018-10-05,130
2018-10-06,125
2018-10-07,142
2018-10-08,135
2018-10-09,130
2018-10-10,144
2018-10-11,159
2018-10-12,132
2018-10-13,141
2018-10-14,114
2018-10-15,162
2018-10-16,135
2018-10-17,138
2018-10-18,138
2018-10-19,142
2018-10-20,143
2018-10-21,138
2018-10-22,155
2018-10-23,154
2018-10-24,113
2018-10-25,137
2018-10-26,143
2018-10-27,136
2018-10-28,140
2018-10-29,146
2018-10-30,154
2018-10-31,163
2018-11-01,154
2018-11-02,143
2018-11-03,161
2018-11-04,123
2018-11-05,144
2018-11-06,128
2018-11-07,130
2018-11-08,121
2018-11-09,127
2018-11-10,131
2018-11-11,146
2018-11-12,140
2018-11-13,120
2018-11-14,135
2018-11-15,127
2018-11-16,126
2018-11-17,145
2018-11-18,123
2018-11-19,126
2018-11-20,132
2018-11-21,105
2018-11-22,122
2018-11-23,125
2018-11-24,143
2018-11-25,127
2018-11-26,111
2018-11-27,131
2018-11-28,118
2018-11-29,105
2018-11-30,101
2018-12-01,124
2018-12-02,114
2018-12-03,114
2018-12-04,138
2018-12-05,130
2018-12-06,135
2018-12-07,114
2018-12-08,127
2018-12-09,128
2018-12-10,124
2018-12-11,125
2018-12-12,120
2018-12-13,131
2018-12-14,146
2018-12-15,149
2018-12-16,115
2018-12-17,160
2018-12-18,128
2018-12-19,149
2018-12-20,135
2018-12-21,140
2018-12-22,175
2018-12-23,176
2018-12-24,152
2018-12-25,159
2018-12-26,157
2018-12-27,174
2018-12-28,167
2018-12-29,138
2018-12-30,176
2018-12-31,155
