year,month,state,price,,,,,,,,,,,,,,,,,,,,
2018,1,AK,21.66,,,,,,,,,,,,,,,,,,,,
2018,1,AL,11.59,,,,,,,,,,,,,,,,,,,,
2018,1,AR,9.36,,,,,,,,,,,,,,,,,,,,
2018,1,AZ,12.24,,,,,,,,,,,,,,,,,,,,
2018,1,CA,19.11,,,,,,,,,,,,,,,,,,,,
2018,1,CO,11.56,,,,,,,,,,,,,,,,,,,,
2018,1,CT,19.98,,,,,,,,,,,,,,,,,,,,
2018,1,DC,12.30,,,,,,,,,,,,,,,,,,,,
2018,1,DE,11.88,,,,,,,,,,,,,,,,,,,,
2018,1,FL,12.03,,,,,,,,,,,,,,,,,,,,
2018,1,GA,10.69,,,,,,,,,,,,,,,,,,,,
2018,1,HI,31.16,,,,,,,,,,,,,,,,,,,,
2018,1,IA,10.93,,,,,,,,,,,,,,,,,,,,
2018,1,ID,10.32,,,,,,,,,,,,,,,,,,,,
2018,1,IL,12.49,,,,,,,,,,,,,,,,,,,,
2018,1,IN,11.09,,,,,,,,,,,,,,,,,,,,
2018,1,KS,12.07,,,,,,,,,,,,,,,,,,,,
2018,1,KY,9.78,,,,,,,,,,,,,,,,,,,,
2018,1,LA,8.72,,,,,,,,,,,,,,,,,,,,
2018,1,MA,21.53,,,,,,,,,,,,,,,,,,,,
2018,1,MD,12.96,,,,,,,,,,,,,,,,,,,,
2018,1,ME,16.01,,,,,,,,,,,,,,,,,,,,
2018,1,MI,15.26,,,,,,,,,,,,,,,,,,,,
2018,1,MN,12.42,,,,,,,,,,,,,,,,,,,,
2018,1,MO,9.19,,,,,,,,,,,,,,,,,,,,
2018,1,MS,10.37,,,,,,,,,,,,,,,,,,,,
2018,1,MT,10.69,,,,,,,,,,,,,,,,,,,,
2018,1,NC,10.27,,,,,,,,,,,,,,,,,,,,
2018,1,ND,9.00,,,,,,,,,,,,,,,,,,,,
2018,1,NE,9.29,,,,,,,,,,,,,,,,,,,,
2018,1,NH,19.23,,,,,,,,,,,,,,,,,,,,
2018,1,NJ,15.54,,,,,,,,,,,,,,,,,,,,
2018,1,NM,11.92,,,,,,,,,,,,,,,,,,,,
2018,1,NV,12.40,,,,,,,,,,,,,,,,,,,,
2018,1,NY,17.75,,,,,,,,,,,,,,,,,,,,
2018,1,OH,11.83,,,,,,,,,,,,,,,,,,,,
2018,1,OK,8.79,,,,,,,,,,,,,,,,,,,,
2018,1,OR,10.53,,,,,,,,,,,,,,,,,,,,
2018,1,PA,13.67,,,,,,,,,,,,,,,,,,,,
2018,1,RI,22.24,,,,,,,,,,,,,,,,,,,,
2018,1,SC,12.50,,,,,,,,,,,,,,,,,,,,
2018,1,SD,10.71,,,,,,,,,,,,,,,,,,,,
2018,1,TN,10.02,,,,,,,,,,,,,,,,,,,,
2018,1,TX,10.83,,,,,,,,,,,,,,,,,,,,
2018,1,UT,10.36,,,,,,,,,,,,,,,,,,,,
2018,1,VA,10.94,,,,,,,,,,,,,,,,,,,,
2018,1,VT,17.36,,,,,,,,,,,,,,,,,,,,
2018,1,WA,9.51,,,,,,,,,,,,,,,,,,,,
2018,1,WI,14.01,,,,,,,,,,,,,,,,,,,,
2018,1,WV,11.05,,,,,,,,,,,,,,,,,,,,
2018,1,WY,10.83,,,,,,,,,,,,,,,,,,,,
2018,2,AK,21.10,,,,,,,,,,,,,,,,,,,,
2018,2,AL,12.29,,,,,,,,,,,,,,,,,,,,
2018,2,AR,9.80,,,,,,,,,,,,,,,,,,,,
2018,2,AZ,12.20,,,,,,,,,,,,,,,,,,,,
2018,2,CA,19.12,,,,,,,,,,,,,,,,,,,,
2018,2,CO,11.73,,,,,,,,,,,,,,,,,,,,
2018,2,CT,21.58,,,,,,,,,,,,,,,,,,,,
2018,2,DC,13.38,,,,,,,,,,,,,,,,,,,,
2018,2,DE,12.60,,,,,,,,,,,,,,,,,,,,
2018,2,FL,12.14,,,,,,,,,,,,,,,,,,,,
2018,2,GA,10.83,,,,,,,,,,,,,,,,,,,,
2018,2,HI,31.52,,,,,,,,,,,,,,,,,,,,
2018,2,IA,11.65,,,,,,,,,,,,,,,,,,,,
2018,2,ID,10.10,,,,,,,,,,,,,,,,,,,,
2018,2,IL,12.23,,,,,,,,,,,,,,,,,,,,
2018,2,IN,11.52,,,,,,,,,,,,,,,,,,,,
2018,2,KS,12.85,,,,,,,,,,,,,,,,,,,,
2018,2,KY,10.36,,,,,,,,,,,,,,,,,,,,
2018,2,LA,8.94,,,,,,,,,,,,,,,,,,,,
2018,2,MA,22.19,,,,,,,,,,,,,,,,,,,,
2018,2,MD,13.42,,,,,,,,,,,,,,,,,,,,
2018,2,ME,16.21,,,,,,,,,,,,,,,,,,,,
2018,2,MI,15.62,,,,,,,,,,,,,,,,,,,,
2018,2,MN,12.56,,,,,,,,,,,,,,,,,,,,
2018,2,MO,9.78,,,,,,,,,,,,,,,,,,,,
2018,2,MS,11.26,,,,,,,,,,,,,,,,,,,,
2018,2,MT,10.70,,,,,,,,,,,,,,,,,,,,
2018,2,NC,11.44,,,,,,,,,,,,,,,,,,,,
2018,2,ND,9.15,,,,,,,,,,,,,,,,,,,,
2018,2,NE,9.60,,,,,,,,,,,,,,,,,,,,
2018,2,NH,19.82,,,,,,,,,,,,,,,,,,,,
2018,2,NJ,15.86,,,,,,,,,,,,,,,,,,,,
2018,2,NM,12.21,,,,,,,,,,,,,,,,,,,,
2018,2,NV,12.50,,,,,,,,,,,,,,,,,,,,
2018,2,NY,18.20,,,,,,,,,,,,,,,,,,,,
2018,2,OH,12.29,,,,,,,,,,,,,,,,,,,,
2018,2,OK,9.85,,,,,,,,,,,,,,,,,,,,
2018,2,OR,10.73,,,,,,,,,,,,,,,,,,,,
2018,2,PA,13.95,,,,,,,,,,,,,,,,,,,,
2018,2,RI,21.66,,,,,,,,,,,,,,,,,,,,
2018,2,SC,12.96,,,,,,,,,,,,,,,,,,,,
2018,2,SD,10.76,,,,,,,,,,,,,,,,,,,,
2018,2,TN,10.33,,,,,,,,,,,,,,,,,,,,
2018,2,TX,11.07,,,,,,,,,,,,,,,,,,,,
2018,2,UT,10.41,,,,,,,,,,,,,,,,,,,,
2018,2,VA,11.47,,,,,,,,,,,,,,,,,,,,
2018,2,VT,18.03,,,,,,,,,,,,,,,,,,,,
2018,2,WA,9.54,,,,,,,,,,,,,,,,,,,,
2018,2,WI,14.29,,,,,,,,,,,,,,,,,,,,
2018,2,WV,11.38,,,,,,,,,,,,,,,,,,,,
2018,2,WY,10.86,,,,,,,,,,,,,,,,,,,,
2018,3,AK,21.45,,,,,,,,,,,,,,,,,,,,
2018,3,AL,12.65,,,,,,,,,,,,,,,,,,,,
2018,3,AR,10.47,,,,,,,,,,,,,,,,,,,,
2018,3,AZ,12.39,,,,,,,,,,,,,,,,,,,,
2018,3,CA,18.46,,,,,,,,,,,,,,,,,,,,
2018,3,CO,11.72,,,,,,,,,,,,,,,,,,,,
2018,3,CT,21.04,,,,,,,,,,,,,,,,,,,,
2018,3,DC,12.18,,,,,,,,,,,,,,,,,,,,
2018,3,DE,12.38,,,,,,,,,,,,,,,,,,,,
2018,3,FL,11.75,,,,,,,,,,,,,,,,,,,,
2018,3,GA,11.33,,,,,,,,,,,,,,,,,,,,
2018,3,HI,32.05,,,,,,,,,,,,,,,,,,,,
2018,3,IA,12.05,,,,,,,,,,,,,,,,,,,,
2018,3,ID,9.99,,,,,,,,,,,,,,,,,,,,
2018,3,IL,12.73,,,,,,,,,,,,,,,,,,,,
2018,3,IN,12.13,,,,,,,,,,,,,,,,,,,,
2018,3,KS,13.34,,,,,,,,,,,,,,,,,,,,
2018,3,KY,10.55,,,,,,,,,,,,,,,,,,,,
2018,3,LA,9.79,,,,,,,,,,,,,,,,,,,,
2018,3,MA,22.49,,,,,,,,,,,,,,,,,,,,
2018,3,MD,12.97,,,,,,,,,,,,,,,,,,,,
2018,3,ME,15.60,,,,,,,,,,,,,,,,,,,,
2018,3,MI,15.55,,,,,,,,,,,,,,,,,,,,
2018,3,MN,12.71,,,,,,,,,,,,,,,,,,,,
2018,3,MO,10.48,,,,,,,,,,,,,,,,,,,,
2018,3,MS,12.04,,,,,,,,,,,,,,,,,,,,
2018,3,MT,10.84,,,,,,,,,,,,,,,,,,,,
2018,3,NC,11.17,,,,,,,,,,,,,,,,,,,,
2018,3,ND,9.65,,,,,,,,,,,,,,,,,,,,
2018,3,NE,10.24,,,,,,,,,,,,,,,,,,,,
2018,3,NH,19.88,,,,,,,,,,,,,,,,,,,,
2018,3,NJ,15.41,,,,,,,,,,,,,,,,,,,,
2018,3,NM,12.67,,,,,,,,,,,,,,,,,,,,
2018,3,NV,12.62,,,,,,,,,,,,,,,,,,,,
2018,3,NY,17.53,,,,,,,,,,,,,,,,,,,,
2018,3,OH,12.55,,,,,,,,,,,,,,,,,,,,
2018,3,OK,10.85,,,,,,,,,,,,,,,,,,,,
2018,3,OR,10.74,,,,,,,,,,,,,,,,,,,,
2018,3,PA,13.93,,,,,,,,,,,,,,,,,,,,
2018,3,RI,20.21,,,,,,,,,,,,,,,,,,,,
2018,3,SC,12.97,,,,,,,,,,,,,,,,,,,,
2018,3,SD,10.84,,,,,,,,,,,,,,,,,,,,
2018,3,TN,11.15,,,,,,,,,,,,,,,,,,,,
2018,3,TX,11.56,,,,,,,,,,,,,,,,,,,,
2018,3,UT,10.44,,,,,,,,,,,,,,,,,,,,
2018,3,VA,11.71,,,,,,,,,,,,,,,,,,,,
2018,3,VT,17.60,,,,,,,,,,,,,,,,,,,,
2018,3,WA,9.65,,,,,,,,,,,,,,,,,,,,
2018,3,WI,14.41,,,,,,,,,,,,,,,,,,,,
2018,3,WV,11.43,,,,,,,,,,,,,,,,,,,,
2018,3,WY,11.05,,,,,,,,,,,,,,,,,,,,
2018,4,AK,21.59,,,,,,,,,,,,,,,,,,,,
2018,4,AL,12.79,,,,,,,,,,,,,,,,,,,,
2018,4,AR,10.00,,,,,,,,,,,,,,,,,,,,
2018,4,AZ,13.10,,,,,,,,,,,,,,,,,,,,
2018,4,CA,16.08,,,,,,,,,,,,,,,,,,,,
2018,4,CO,12.06,,,,,,,,,,,,,,,,,,,,
2018,4,CT,21.44,,,,,,,,,,,,,,,,,,,,
2018,4,DC,13.72,,,,,,,,,,,,,,,,,,,,
2018,4,DE,12.85,,,,,,,,,,,,,,,,,,,,
2018,4,FL,11.36,,,,,,,,,,,,,,,,,,,,
2018,4,GA,11.19,,,,,,,,,,,,,,,,,,,,
2018,4,HI,31.21,,,,,,,,,,,,,,,,,,,,
2018,4,IA,12.24,,,,,,,,,,,,,,,,,,,,
2018,4,ID,10.13,,,,,,,,,,,,,,,,,,,,
2018,4,IL,13.04,,,,,,,,,,,,,,,,,,,,
2018,4,IN,12.31,,,,,,,,,,,,,,,,,,,,
2018,4,KS,13.56,,,,,,,,,,,,,,,,,,,,
2018,4,KY,10.62,,,,,,,,,,,,,,,,,,,,
