Date(UTC),UnixTimeStamp,Value
1/1/18,1514764800,5926
1/2/18,1514851200,5750
1/3/18,1514937600,5540
1/4/18,1515024000,5454
1/5/18,1515110400,5341
1/6/18,1515196800,5416
1/7/18,1515283200,5528
1/8/18,1515369600,5408
1/9/18,1515456000,5377
1/10/18,1515542400,5415
1/11/18,1515628800,5430
1/12/18,1515715200,5419
1/13/18,1515801600,5394
1/14/18,1515888000,5625
1/15/18,1515974400,5424
1/16/18,1516060800,5522
1/17/18,1516147200,5572
1/18/18,1516233600,5569
1/19/18,1516320000,5685
1/20/18,1516406400,5873
1/21/18,1516492800,5810
1/22/18,1516579200,5883
1/23/18,1516665600,5898
1/24/18,1516752000,5961
1/25/18,1516838400,5910
1/26/18,1516924800,5910
1/27/18,1517011200,6004
1/28/18,1517097600,6017
1/29/18,1517184000,5925
1/30/18,1517270400,5867
1/31/18,1517356800,5883
2/1/18,1517443200,5778
2/2/18,1517529600,5865
2/3/18,1517616000,5973
2/4/18,1517702400,5960
2/5/18,1517788800,6025
2/6/18,1517875200,5926
2/7/18,1517961600,5913
2/8/18,1518048000,6002
2/9/18,1518134400,5936
2/10/18,1518220800,6022
2/11/18,1518307200,5955
2/12/18,1518393600,5945
2/13/18,1518480000,5965
2/14/18,1518566400,5860
2/15/18,1518652800,5966
2/16/18,1518739200,5958
2/17/18,1518825600,6036
2/18/18,1518912000,5984
2/19/18,1518998400,5898
2/20/18,1519084800,5814
2/21/18,1519171200,5849
2/22/18,1519257600,5873
2/23/18,1519344000,5926
2/24/18,1519430400,5850
2/25/18,1519516800,5858
2/26/18,1519603200,5803
2/27/18,1519689600,5865
2/28/18,1519776000,5898
3/1/18,1519862400,5879
3/2/18,1519948800,5899
3/3/18,1520035200,5949
3/4/18,1520121600,5881
3/5/18,1520208000,5885
3/6/18,1520294400,5890
3/7/18,1520380800,5915
3/8/18,1520467200,5856
3/9/18,1520553600,5898
3/10/18,1520640000,5893
3/11/18,1520726400,5957
3/12/18,1520812800,5823
3/13/18,1520899200,5865
3/14/18,1520985600,5843
3/15/18,1521072000,5881
3/16/18,1521158400,5918
3/17/18,1521244800,5856
3/18/18,1521331200,5933
3/19/18,1521417600,5961
3/20/18,1521504000,5959
3/21/18,1521590400,5934
3/22/18,1521676800,6014
3/23/18,1521763200,5968
3/24/18,1521849600,6058
3/25/18,1521936000,6024
3/26/18,1522022400,6004
3/27/18,1522108800,5923
3/28/18,1522195200,5949
3/29/18,1522281600,5867
3/30/18,1522368000,5938
3/31/18,1522454400,6050
4/1/18,1522540800,6016
4/2/18,1522627200,6094
4/3/18,1522713600,5999
4/4/18,1522800000,6001
4/5/18,1522886400,6056
4/6/18,1522972800,6051
4/7/18,1523059200,6049
4/8/18,1523145600,6058
4/9/18,1523232000,5995
4/10/18,1523318400,6073
4/11/18,1523404800,5962
4/12/18,1523491200,5898
4/13/18,1523577600,5923
4/14/18,1523664000,5917
4/15/18,1523750400,5939
4/16/18,1523836800,5932
4/17/18,1523923200,5835
4/18/18,1524009600,5795
4/19/18,1524096000,5810
4/20/18,1524182400,5715
4/21/18,1524268800,5883
4/22/18,1524355200,5902
4/23/18,1524441600,5776
4/24/18,1524528000,5720
4/25/18,1524614400,5818
4/26/18,1524700800,5867
4/27/18,1524787200,5714
4/28/18,1524873600,5713
4/29/18,1524960000,5833
4/30/18,1525046400,5724
5/1/18,1525132800,5622
5/2/18,1525219200,5712
5/3/18,1525305600,5681
5/4/18,1525392000,5632
5/5/18,1525478400,5741
5/6/18,1525564800,5763
5/7/18,1525651200,5835
5/8/18,1525737600,5734
5/9/18,1525824000,5730
5/10/18,1525910400,5683
5/11/18,1525996800,5751
5/12/18,1526083200,5754
5/13/18,1526169600,5760
5/14/18,1526256000,5638
5/15/18,1526342400,5732
5/16/18,1526428800,5645
5/17/18,1526515200,5704
5/18/18,1526601600,5636
5/19/18,1526688000,5603
5/20/18,1526774400,5642
5/21/18,1526860800,5687
5/22/18,1526947200,5601
5/23/18,1527033600,5655
5/24/18,1527120000,5563
5/25/18,1527206400,5635
5/26/18,1527292800,5719
5/27/18,1527379200,5634
5/28/18,1527465600,5704
5/29/18,1527552000,5649
5/30/18,1527638400,5609
5/31/18,1527724800,5647
6/1/18,1527811200,5624
6/2/18,1527897600,5632
6/3/18,1527984000,5619
6/4/18,1528070400,5672
6/5/18,1528156800,5591
6/6/18,1528243200,5633
6/7/18,1528329600,5639
6/8/18,1528416000,5679
6/9/18,1528502400,5610
6/10/18,1528588800,5641
6/11/18,1528675200,5657
6/12/18,1528761600,5714
6/13/18,1528848000,5752
6/14/18,1528934400,5765
6/15/18,1529020800,5782
6/16/18,1529107200,5871
6/17/18,1529193600,5915
6/18/18,1529280000,5954
6/19/18,1529366400,5802
6/20/18,1529452800,5823
6/21/18,1529539200,5872
6/22/18,1529625600,5820
6/23/18,1529712000,5922
6/24/18,1529798400,5881
6/25/18,1529884800,5665
6/26/18,1529971200,5748
6/27/18,1530057600,5847
6/28/18,1530144000,5762
6/29/18,1530230400,5764
6/30/18,1530316800,5870
7/1/18,1530403200,5837
7/2/18,1530489600,5929
7/3/18,1530576000,5809
7/4/18,1530662400,5837
7/5/18,1530748800,5808
7/6/18,1530835200,5844
7/7/18,1530921600,5820
7/8/18,1531008000,5697
7/9/18,1531094400,5855
7/10/18,1531180800,5783
7/11/18,1531267200,5931
7/12/18,1531353600,5993
7/13/18,1531440000,5953
7/14/18,1531526400,6006
7/15/18,1531612800,6067
7/16/18,1531699200,5851
7/17/18,1531785600,5889
7/18/18,1531872000,5757
7/19/18,1531958400,5793
7/20/18,1532044800,5838
7/21/18,1532131200,5997
7/22/18,1532217600,5975
7/23/18,1532304000,5862
7/24/18,1532390400,5815
7/25/18,1532476800,5900
7/26/18,1532563200,5852
7/27/18,1532649600,5909
7/28/18,1532736000,5991
7/29/18,1532822400,6010
7/30/18,1532908800,5963
7/31/18,1532995200,5919
8/1/18,1533081600,5861
8/2/18,1533168000,5854
8/3/18,1533254400,5916
8/4/18,1533340800,6003
8/5/18,1533427200,5932
8/6/18,1533513600,5923
8/7/18,1533600000,5875
8/8/18,1533686400,5957
8/9/18,1533772800,5930
8/10/18,1533859200,5926
8/11/18,1533945600,5945
8/12/18,1534032000,5835
8/13/18,1534118400,5872
8/14/18,1534204800,5952
8/15/18,1534291200,5965
8/16/18,1534377600,5940
8/17/18,1534464000,5840
8/18/18,1534550400,5883
8/19/18,1534636800,5930
8/20/18,1534723200,5932
8/21/18,1534809600,5961
8/22/18,1534896000,5922
8/23/18,1534982400,5853
8/24/18,1535068800,5946
8/25/18,1535155200,5926
8/26/18,1535241600,5947
8/27/18,1535328000,5942
8/28/18,1535414400,5898
8/29/18,1535500800,5890
8/30/18,1535587200,5910
8/31/18,1535673600,5953
9/1/18,1535760000,5880
9/2/18,1535846400,6027
9/3/18,1535932800,5887
9/4/18,1536019200,5968
9/5/18,1536105600,5956
9/6/18,1536192000,6048
9/7/18,1536278400,5913
9/8/18,1536364800,5936
9/9/18,1536451200,5899
9/10/18,1536537600,6007
9/11/18,1536624000,6002
9/12/18,1536710400,6043
9/13/18,1536796800,6004
9/14/18,1536883200,6066
9/15/18,1536969600,6051
9/16/18,1537056000,6113
9/17/18,1537142400,6080
9/18/18,1537228800,5967
9/19/18,1537315200,6123
9/20/18,1537401600,6014
9/21/18,1537488000,6084
9/22/18,1537574400,6038
9/23/18,1537660800,6080
9/24/18,1537747200,6075
9/25/18,1537833600,6113
9/26/18,1537920000,6112
9/27/18,1538006400,6081
9/28/18,1538092800,6098
9/29/18,1538179200,6095
9/30/18,1538265600,6114
10/1/18,1538352000,6095
10/2/18,1538438400,6180
10/3/18,1538524800,6075
10/4/18,1538611200,6146
10/5/18,1538697600,6099
10/6/18,1538784000,6222
10/7/18,1538870400,6241
10/8/18,1538956800,6179
10/9/18,1539043200,6149
10/10/18,1539129600,6168
10/11/18,1539216000,6143
10/12/18,1539302400,6170
10/13/18,1539388800,6176
10/14/18,1539475200,6182
10/15/18,1539561600,6095
10/16/18,1539648000,6114
10/17/18,1539734400,6130
10/18/18,1539820800,6142
10/19/18,1539907200,6065
10/20/18,1539993600,6158
10/21/18,1540080000,6124
10/22/18,1540166400,6065
10/23/18,1540252800,6168
10/24/18,1540339200,6124
10/25/18,1540425600,6123
10/26/18,1540512000,6122
10/27/18,1540598400,6100
10/28/18,1540684800,6137
10/29/18,1540771200,6111
10/30/18,1540857600,6043
10/31/18,1540944000,6157
11/1/18,1541030400,6069
11/2/18,1541116800,6069
11/3/18,1541203200,6119
11/4/18,1541289600,6109
11/5/18,1541376000,6075
11/6/18,1541462400,6064
11/7/18,1541548800,6144
11/8/18,1541635200,6066
11/9/18,1541721600,6091
11/10/18,1541808000,6113
11/11/18,1541894400,6121
11/12/18,1541980800,6171
11/13/18,1542067200,6095
11/14/18,1542153600,6071
11/15/18,1542240000,6073
11/16/18,1542326400,6182
11/17/18,1542412800,6112
11/18/18,1542499200,6159
11/19/18,1542585600,5999
11/20/18,1542672000,6028
11/21/18,1542758400,6136
11/22/18,1542844800,6063
11/23/18,1542931200,6119
11/24/18,1543017600,6119
11/25/18,1543104000,6154
11/26/18,1543190400,6071
11/27/18,1543276800,5995
11/28/18,1543363200,6026
11/29/18,1543449600,6121
11/30/18,1543536000,6046
12/1/18,1543622400,6057
12/2/18,1543708800,6061
12/3/18,1543795200,6033
12/4/18,1543881600,6039
12/5/18,1543968000,6017
12/6/18,1544054400,6056
12/7/18,1544140800,5972
12/8/18,1544227200,6023
12/9/18,1544313600,6097
12/10/18,1544400000,6176
12/11/18,1544486400,5984
12/12/18,1544572800,6076
12/13/18,1544659200,6097
12/14/18,1544745600,6014
12/15/18,1544832000,6115
12/16/18,1544918400,6039
12/17/18,1545004800,5891
12/18/18,1545091200,5861
12/19/18,1545177600,5849
12/20/18,1545264000,5853
12/21/18,1545350400,5837
12/22/18,1545436800,5925
12/23/18,1545523200,5865
12/24/18,1545609600,5927
12/25/18,1545696000,5967
12/26/18,1545782400,5961
12/27/18,1545868800,5893
12/28/18,1545955200,5907
12/29/18,1546041600,5960
12/30/18,1546128000,5886
12/31/18,1546214400,5921
