Date(UTC),UnixTimeStamp,Value
1/1/18,1514764800,7.68441E+20
1/2/18,1514851200,1.05303E+21
1/3/18,1514937600,1.24029E+21
1/4/18,1515024000,1.48365E+21
1/5/18,1515110400,3.18086E+21
1/6/18,1515196800,3.64186E+21
1/7/18,1515283200,2.91038E+21
1/8/18,1515369600,2.9443E+21
1/9/18,1515456000,3.09163E+21
1/10/18,1515542400,3.69665E+21
1/11/18,1515628800,3.13248E+21
1/12/18,1515715200,2.32471E+21
1/13/18,1515801600,2.41166E+21
1/14/18,1515888000,2.23684E+21
1/15/18,1515974400,2.22703E+21
1/16/18,1516060800,2.22981E+21
1/17/18,1516147200,2.06923E+21
1/18/18,1516233600,2.15307E+21
1/19/18,1516320000,1.86633E+21
1/20/18,1516406400,1.77683E+21
1/21/18,1516492800,1.32396E+21
1/22/18,1516579200,1.19676E+21
1/23/18,1516665600,1.4391E+21
1/24/18,1516752000,1.29259E+21
1/25/18,1516838400,1.05846E+21
1/26/18,1516924800,9.58759E+20
1/27/18,1517011200,8.16464E+20
1/28/18,1517097600,8.87823E+20
1/29/18,1517184000,1.27509E+21
1/30/18,1517270400,1.06258E+21
1/31/18,1517356800,1.06865E+21
2/1/18,1517443200,1.55075E+21
2/2/18,1517529600,1.20245E+21
2/3/18,1517616000,8.87378E+20
2/4/18,1517702400,8.44771E+20
2/5/18,1517788800,8.7321E+20
2/6/18,1517875200,9.25672E+20
2/7/18,1517961600,8.50592E+20
2/8/18,1518048000,6.54748E+20
2/9/18,1518134400,7.02094E+20
2/10/18,1518220800,7.61996E+20
2/11/18,1518307200,6.46193E+20
2/12/18,1518393600,6.42815E+20
2/13/18,1518480000,6.3147E+20
2/14/18,1518566400,6.42037E+20
2/15/18,1518652800,6.34597E+20
2/16/18,1518739200,6.01582E+20
2/17/18,1518825600,6.78769E+20
2/18/18,1518912000,7.66145E+20
2/19/18,1518998400,6.56179E+20
2/20/18,1519084800,7.45417E+20
2/21/18,1519171200,7.41308E+20
2/22/18,1519257600,6.1472E+20
2/23/18,1519344000,6.26411E+20
2/24/18,1519430400,6.2679E+20
2/25/18,1519516800,5.48954E+20
2/26/18,1519603200,5.46312E+20
2/27/18,1519689600,5.64395E+20
2/28/18,1519776000,7.49089E+20
3/1/18,1519862400,5.71259E+20
3/2/18,1519948800,7.3441E+20
3/3/18,1520035200,5.0896E+20
3/4/18,1520121600,5.53922E+20
3/5/18,1520208000,6.33968E+20
3/6/18,1520294400,5.16094E+20
3/7/18,1520380800,6.10123E+20
3/8/18,1520467200,5.40634E+20
3/9/18,1520553600,5.00782E+20
3/10/18,1520640000,3.97481E+20
3/11/18,1520726400,3.61573E+20
3/12/18,1520812800,5.13422E+20
3/13/18,1520899200,3.91731E+20
3/14/18,1520985600,4.21589E+20
3/15/18,1521072000,3.93577E+20
3/16/18,1521158400,4.20405E+20
3/17/18,1521244800,3.12269E+20
3/18/18,1521331200,3.63788E+20
3/19/18,1521417600,3.77054E+20
3/20/18,1521504000,3.79919E+20
3/21/18,1521590400,4.42726E+20
3/22/18,1521676800,4.2638E+20
3/23/18,1521763200,4.50096E+20
3/24/18,1521849600,3.80877E+20
3/25/18,1521936000,3.33965E+20
3/26/18,1522022400,4.34589E+20
3/27/18,1522108800,3.60734E+20
3/28/18,1522195200,3.67473E+20
3/29/18,1522281600,3.88419E+20
3/30/18,1522368000,3.53293E+20
3/31/18,1522454400,2.81163E+20
4/1/18,1522540800,2.50987E+20
4/2/18,1522627200,3.08537E+20
4/3/18,1522713600,3.32168E+20
4/4/18,1522800000,2.83251E+20
4/5/18,1522886400,4.88359E+20
4/6/18,1522972800,3.52355E+20
4/7/18,1523059200,2.42705E+20
4/8/18,1523145600,2.82434E+20
4/9/18,1523232000,3.07438E+20
4/10/18,1523318400,2.9282E+20
4/11/18,1523404800,3.26022E+20
4/12/18,1523491200,3.78877E+20
4/13/18,1523577600,4.42273E+20
4/14/18,1523664000,3.17022E+20
4/15/18,1523750400,2.933E+20
4/16/18,1523836800,3.33971E+20
4/17/18,1523923200,3.59839E+20
4/18/18,1524009600,4.21581E+20
4/19/18,1524096000,4.45073E+20
4/20/18,1524182400,4.45013E+20
4/21/18,1524268800,3.4781E+20
4/22/18,1524355200,3.57657E+20
4/23/18,1524441600,3.90664E+20
4/24/18,1524528000,4.7851E+20
4/25/18,1524614400,4.5528E+20
4/26/18,1524700800,4.63463E+20
4/27/18,1524787200,4.8678E+20
4/28/18,1524873600,5.18979E+20
4/29/18,1524960000,5.46699E+20
4/30/18,1525046400,5.6657E+20
5/1/18,1525132800,4.44819E+20
5/2/18,1525219200,4.76351E+20
5/3/18,1525305600,5.6975E+20
5/4/18,1525392000,5.45712E+20
5/5/18,1525478400,4.2866E+20
5/6/18,1525564800,3.83374E+20
5/7/18,1525651200,4.43728E+20
5/8/18,1525737600,4.9631E+20
5/9/18,1525824000,5.22481E+20
5/10/18,1525910400,7.37347E+20
5/11/18,1525996800,7.21751E+20
5/12/18,1526083200,4.98479E+20
5/13/18,1526169600,5.22064E+20
5/14/18,1526256000,6.67494E+20
5/15/18,1526342400,6.73498E+20
5/16/18,1526428800,7.18126E+20
5/17/18,1526515200,7.90211E+20
5/18/18,1526601600,7.4766E+20
5/19/18,1526688000,6.63304E+20
5/20/18,1526774400,6.04616E+20
5/21/18,1526860800,6.83189E+20
5/22/18,1526947200,7.69998E+20
5/23/18,1527033600,7.8087E+20
5/24/18,1527120000,7.18821E+20
5/25/18,1527206400,6.88278E+20
5/26/18,1527292800,5.96385E+20
5/27/18,1527379200,5.46719E+20
5/28/18,1527465600,8.62659E+20
5/29/18,1527552000,8.2568E+20
5/30/18,1527638400,8.67284E+20
5/31/18,1527724800,1.07393E+21
6/1/18,1527811200,8.75763E+20
6/2/18,1527897600,6.02951E+20
6/3/18,1527984000,5.90895E+20
6/4/18,1528070400,7.38621E+20
6/5/18,1528156800,6.34673E+20
6/6/18,1528243200,8.09119E+20
6/7/18,1528329600,6.3163E+20
6/8/18,1528416000,5.47891E+20
6/9/18,1528502400,4.3916E+20
6/10/18,1528588800,4.39125E+20
6/11/18,1528675200,4.73358E+20
